#{"t_start": 1745270662.639613, "env_id": "None"}
r,l,t,user_id,item_interact,item_clicks
17.507596,50,0.687219,1,"(np.int64(28026), np.int64(11921), np.int64(37311), np.int64(7301), np.int64(29853), np.int64(26202), np.int64(4321), np.int64(24591), np.int64(3921), np.int64(19968), np.int64(32360), np.int64(45593), np.int64(42500), np.int64(3221), np.int64(14379), np.int64(24451), np.int64(38464), np.int64(5705), np.int64(35067), np.int64(7518), np.int64(46955), np.int64(3072), np.int64(16086), np.int64(4383), np.int64(12468), np.int64(48295), np.int64(33784), np.int64(2672), np.int64(15371), np.int64(18803), np.int64(24786), np.int64(13013), np.int64(33237), np.int64(28062), np.int64(35119), np.int64(48176), np.int64(27442), np.int64(15861), np.int64(2962), np.int64(18337), np.int64(18413), np.int64(24185), np.int64(33392), np.int64(170), np.int64(39970), np.int64(5720), np.int64(42268), np.int64(32945), np.int64(31171), np.int64(442))","(1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1)"
9.98149,44,1.164611,1,"(np.int64(21564), np.int64(35859), np.int64(27248), np.int64(7062), np.int64(41782), np.int64(25594), np.int64(43572), np.int64(4425), np.int64(35298), np.int64(13644), np.int64(35941), np.int64(2642), np.int64(19962), np.int64(48965), np.int64(9095), np.int64(7757), np.int64(10700), np.int64(29106), np.int64(15098), np.int64(13041), np.int64(5951), np.int64(14582), np.int64(15717), np.int64(40425), np.int64(39173), np.int64(37476), np.int64(22347), np.int64(21388), np.int64(30606), np.int64(3742), np.int64(27686), np.int64(34256), np.int64(47160), np.int64(22475), np.int64(29716), np.int64(43294), np.int64(17395), np.int64(32974), np.int64(6702), np.int64(31570), np.int64(24214), np.int64(45929), np.int64(20409), np.int64(187))","(1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1)"
3.578591,12,1.305052,1,"(np.int64(28831), np.int64(24662), np.int64(17516), np.int64(19778), np.int64(576), np.int64(19958), np.int64(46423), np.int64(47178), np.int64(43708), np.int64(4265), np.int64(3263), np.int64(34484))","(1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0)"
5.63155,35,1.685616,1,"(np.int64(25751), np.int64(5864), np.int64(48863), np.int64(29437), np.int64(21923), np.int64(25160), np.int64(15543), np.int64(40614), np.int64(18276), np.int64(47620), np.int64(21176), np.int64(30634), np.int64(29799), np.int64(46184), np.int64(43919), np.int64(12512), np.int64(14653), np.int64(49432), np.int64(44270), np.int64(46735), np.int64(32445), np.int64(27445), np.int64(43110), np.int64(35733), np.int64(10690), np.int64(5943), np.int64(8709), np.int64(44486), np.int64(31711), np.int64(33603), np.int64(4348), np.int64(40498), np.int64(2499), np.int64(35669), np.int64(11968))","(0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1)"
5.311855,15,1.852416,1,"(np.int64(13742), np.int64(31393), np.int64(33412), np.int64(48885), np.int64(15274), np.int64(27307), np.int64(25118), np.int64(19607), np.int64(6627), np.int64(16283), np.int64(690), np.int64(3273), np.int64(18272), np.int64(31501), np.int64(18312))","(0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0)"
9.796908,47,2.351262,1,"(np.int64(41758), np.int64(37821), np.int64(9077), np.int64(45843), np.int64(26737), np.int64(43159), np.int64(10121), np.int64(47506), np.int64(36424), np.int64(25761), np.int64(1814), np.int64(19888), np.int64(46579), np.int64(38810), np.int64(25997), np.int64(43602), np.int64(19646), np.int64(38314), np.int64(39444), np.int64(28734), np.int64(21979), np.int64(46516), np.int64(15245), np.int64(40768), np.int64(39682), np.int64(36443), np.int64(45325), np.int64(23923), np.int64(20610), np.int64(49719), np.int64(33486), np.int64(10702), np.int64(44187), np.int64(46242), np.int64(7710), np.int64(12601), np.int64(4780), np.int64(43668), np.int64(48391), np.int64(10054), np.int64(40850), np.int64(14700), np.int64(48936), np.int64(33579), np.int64(21580), np.int64(2899), np.int64(23298))","(0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0)"
12.025012,50,2.885314,1,"(np.int64(26722), np.int64(5794), np.int64(28693), np.int64(22613), np.int64(22609), np.int64(3711), np.int64(49262), np.int64(26309), np.int64(15203), np.int64(26930), np.int64(39873), np.int64(21649), np.int64(28769), np.int64(33357), np.int64(27100), np.int64(47596), np.int64(38527), np.int64(27833), np.int64(42110), np.int64(37002), np.int64(15002), np.int64(571), np.int64(4081), np.int64(35633), np.int64(3771), np.int64(18783), np.int64(29225), np.int64(44068), np.int64(41183), np.int64(44330), np.int64(14538), np.int64(43008), np.int64(42112), np.int64(25670), np.int64(45612), np.int64(1324), np.int64(44753), np.int64(35006), np.int64(33010), np.int64(49557), np.int64(15350), np.int64(49401), np.int64(7024), np.int64(45644), np.int64(14326), np.int64(39110), np.int64(16193), np.int64(40189), np.int64(12089), np.int64(28548))","(0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0)"
12.031401,50,3.42265,1,"(np.int64(24743), np.int64(30638), np.int64(49421), np.int64(44707), np.int64(10037), np.int64(40907), np.int64(10952), np.int64(5648), np.int64(35606), np.int64(27585), np.int64(40159), np.int64(29436), np.int64(6914), np.int64(14688), np.int64(9994), np.int64(40805), np.int64(19550), np.int64(41637), np.int64(8785), np.int64(38136), np.int64(14796), np.int64(46473), np.int64(46151), np.int64(4315), np.int64(20305), np.int64(16315), np.int64(21603), np.int64(39401), np.int64(24487), np.int64(39716), np.int64(44889), np.int64(689), np.int64(10131), np.int64(34907), np.int64(26596), np.int64(26457), np.int64(38985), np.int64(41221), np.int64(16961), np.int64(8600), np.int64(43677), np.int64(34672), np.int64(15638), np.int64(35346), np.int64(5655), np.int64(6433), np.int64(26920), np.int64(31992), np.int64(30171), np.int64(34528))","(1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0)"
4.886381,30,3.745152,1,"(np.int64(28372), np.int64(28297), np.int64(20096), np.int64(35488), np.int64(44443), np.int64(7918), np.int64(42498), np.int64(45543), np.int64(48205), np.int64(25091), np.int64(29564), np.int64(48335), np.int64(12417), np.int64(39530), np.int64(13606), np.int64(32988), np.int64(29228), np.int64(26655), np.int64(25054), np.int64(22643), np.int64(22486), np.int64(16164), np.int64(37743), np.int64(44555), np.int64(17261), np.int64(45378), np.int64(21269), np.int64(19568), np.int64(1389), np.int64(25866))","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0)"
12.888369,50,4.278197,1,"(np.int64(19901), np.int64(25166), np.int64(36700), np.int64(36456), np.int64(10206), np.int64(48534), np.int64(37621), np.int64(48578), np.int64(46580), np.int64(21292), np.int64(35124), np.int64(1105), np.int64(23730), np.int64(12495), np.int64(39054), np.int64(35609), np.int64(24868), np.int64(19313), np.int64(12536), np.int64(48216), np.int64(9376), np.int64(6794), np.int64(30609), np.int64(1282), np.int64(16264), np.int64(49252), np.int64(11926), np.int64(30048), np.int64(3199), np.int64(32688), np.int64(37395), np.int64(6207), np.int64(30316), np.int64(10172), np.int64(21398), np.int64(26084), np.int64(43025), np.int64(18470), np.int64(10684), np.int64(25943), np.int64(38564), np.int64(13100), np.int64(29178), np.int64(46820), np.int64(33690), np.int64(9420), np.int64(12095), np.int64(21620), np.int64(28065), np.int64(24525))","(0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0)"
