#{"t_start": 1745436315.0248399, "env_id": "None"}
r,l,t,user_id,item_interact,item_clicks
37.449197,50,0.50768,2,"(32013, 19083, 23573, 29949, 20709, 37965, 21357, 17842, 27157, 24867, 18664, 17904, 26377, 37699, 29293, 37564, 11354, 17129, 44972, 16997, 41563, 27137, 13138, 47167, 20920, 35032, 12644, 2228, 21399, 24118, 21458, 47753, 9548, 7525, 39590, 17588, 4845, 1497, 21742, 38190, 11652, 14787, 40021, 27429, 41553, 13578, 20279, 28802, 40756, 38277)","(1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1)"
23.058615,50,0.929704,0,"(27552, 18747, 37926, 26223, 1239, 28439, 43685, 30026, 23519, 7178, 45889, 48441, 4320, 10857, 6658, 15523, 29464, 14499, 21462, 37180, 49905, 2775, 4526, 11139, 43883, 8145, 4865, 33140, 324, 37865, 25926, 48117, 32191, 36500, 45301, 29914, 39373, 33558, 48016, 32232, 12842, 19062, 13578, 49253, 32335, 40743, 28606, 3755, 49857, 30554)","(0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0)"
30.768592,50,1.357293,1,"(18899, 40893, 43433, 17486, 46658, 40173, 5539, 25754, 14464, 19110, 37525, 33159, 15471, 8657, 35465, 25223, 31653, 47060, 18156, 44933, 40863, 8431, 49137, 1739, 43305, 26611, 2387, 2381, 15376, 8441, 11782, 13418, 22069, 21194, 11806, 46770, 31084, 42033, 38791, 17709, 28096, 8707, 22650, 18747, 29299, 49668, 6471, 17270, 132, 14264)","(1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1)"
28.176398,50,1.778163,7,"(17909, 14070, 5708, 332, 34994, 33269, 11912, 16542, 45521, 1981, 24972, 24264, 46248, 34938, 16831, 28169, 38953, 12900, 37355, 35900, 37254, 34317, 42936, 25180, 12511, 11927, 46876, 17918, 710, 8672, 25621, 6495, 4029, 8495, 35288, 18225, 14542, 4788, 8744, 7001, 36330, 43481, 11790, 46948, 8080, 25586, 1892, 24971, 31051, 48395)","(1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0)"
22.441798,50,2.221964,4,"(22816, 1902, 17518, 7270, 34032, 30808, 32789, 20751, 30373, 12505, 14881, 23789, 8777, 36012, 10003, 1954, 41360, 13396, 48517, 9982, 14137, 1933, 36165, 47556, 34947, 27605, 16421, 38662, 17071, 45137, 20753, 22391, 44062, 22940, 33730, 46737, 965, 8837, 2931, 9566, 26106, 5905, 6991, 46876, 39827, 9673, 35735, 7731, 12501, 26287)","(0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0)"
18.148731,50,2.625531,4,"(32746, 24216, 8592, 48237, 8104, 46909, 3982, 20709, 36985, 45960, 5147, 36008, 32291, 1597, 12373, 1393, 49960, 15707, 42530, 6538, 16832, 47224, 46887, 49199, 15299, 46631, 4717, 34623, 14427, 41780, 5137, 10496, 757, 31050, 36379, 17856, 14681, 26062, 35160, 22815, 18551, 11759, 38875, 36608, 23805, 10199, 29461, 22429, 43658, 43320)","(1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0)"
23.434453,50,3.093275,6,"(39274, 3850, 27578, 6069, 32324, 23068, 26847, 25784, 21032, 39049, 21755, 41218, 20120, 33298, 7444, 27807, 48638, 18842, 8193, 516, 28005, 36173, 29080, 43819, 19021, 19168, 40621, 41125, 456, 29207, 14335, 27736, 35142, 28214, 31228, 23801, 42317, 18919, 13067, 17015, 32015, 47887, 23917, 2116, 37790, 16155, 22665, 12148, 27077, 14105)","(1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1)"
39.432383,50,3.509628,2,"(19378, 2433, 1304, 41662, 37845, 12240, 6529, 45778, 36060, 34885, 47001, 45873, 27540, 27442, 2802, 301, 30902, 14259, 49896, 2905, 7488, 34533, 37942, 42722, 14499, 15582, 3110, 38842, 30706, 30479, 1160, 9719, 11942, 163, 18232, 16895, 48142, 12620, 42691, 49336, 10719, 21193, 13961, 20766, 6378, 19687, 36937, 7961, 41846, 25847)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0)"
19.77383,50,3.976045,3,"(47038, 15232, 41936, 3020, 30809, 24404, 30047, 2582, 21491, 24940, 42061, 18456, 6798, 40772, 6543, 3684, 13929, 29873, 34584, 948, 26699, 39722, 45780, 11367, 24015, 31331, 19729, 39918, 9634, 49446, 31723, 22010, 42829, 32026, 28401, 40387, 4701, 44071, 13660, 32122, 36367, 2996, 27446, 25351, 20817, 7680, 21775, 3487, 49581, 16655)","(0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1)"
33.298462,50,4.43443,2,"(21106, 22329, 6794, 49859, 26496, 22881, 28273, 46005, 33924, 2272, 49258, 32711, 9508, 30144, 20008, 40669, 41960, 10078, 40558, 25877, 24090, 49798, 49915, 47823, 27086, 34654, 202, 10010, 12648, 20912, 7732, 18085, 35119, 43112, 16284, 41271, 44692, 42207, 38378, 31825, 14071, 35041, 24087, 16067, 31852, 2768, 10640, 28662, 6816, 20445)","(1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1)"
39.758091,50,4.925513,1,"(14794, 13756, 2226, 40013, 33254, 42510, 30816, 1743, 42274, 41815, 20734, 23921, 44803, 1046, 20728, 37862, 6973, 19335, 19143, 26063, 15509, 14276, 4105, 38076, 27847, 27478, 22753, 37064, 44983, 79, 6183, 34484, 8804, 3819, 16793, 12959, 36436, 2162, 8688, 11393, 14684, 10342, 3370, 1217, 11942, 49067, 32439, 22025, 6152, 40758)","(1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0)"
27.122725,50,5.36792,1,"(44610, 31331, 38668, 29382, 32485, 15494, 17674, 33252, 32648, 2148, 4441, 16170, 2229, 20135, 8678, 25167, 9020, 32601, 44915, 42622, 14997, 44120, 17388, 5981, 40052, 12858, 5856, 26984, 13497, 43954, 11980, 48001, 32745, 19950, 17238, 40391, 18130, 35015, 7777, 5469, 20737, 8249, 33648, 1899, 28, 33695, 6311, 48732, 36521, 8104)","(0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1)"
17.375957,50,5.758842,4,"(33000, 50006, 10869, 35195, 17081, 6736, 37111, 33341, 10514, 10901, 593, 43527, 12025, 42642, 22683, 42476, 49826, 6255, 36890, 17976, 40254, 22707, 358, 46009, 9089, 44133, 25922, 21909, 22645, 40047, 46694, 38149, 39226, 45862, 32515, 40999, 47483, 45927, 24180, 24828, 12995, 20850, 27480, 27640, 5183, 24773, 44114, 41241, 2017, 18225)","(0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1)"
