#{"t_start": 1745329876.818113, "env_id": "None"}
r,l,t,user_id,item_interact,item_clicks
2.191111,50,0.560877,0,"(np.int64(9244), np.int64(14289), np.int64(38378), np.int64(33218), np.int64(9355), np.int64(6836), np.int64(30076), np.int64(45846), np.int64(292), np.int64(12676), np.int64(32780), np.int64(12622), np.int64(43365), np.int64(41790), np.int64(20576), np.int64(48862), np.int64(34130), np.int64(22818), np.int64(41174), np.int64(38694), np.int64(31220), np.int64(9911), np.int64(42494), np.int64(16796), np.int64(5614), np.int64(2004), np.int64(35003), np.int64(28234), np.int64(28258), np.int64(12018), np.int64(9448), np.int64(39303), np.int64(32288), np.int64(17816), np.int64(48389), np.int64(30675), np.int64(21642), np.int64(25636), np.int64(9909), np.int64(30939), np.int64(11559), np.int64(10205), np.int64(29513), np.int64(3331), np.int64(25144), np.int64(24466), np.int64(24212), np.int64(33778), np.int64(17328), np.int64(36150))","(0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)"
19.759857,50,0.995814,2,"(np.int64(38911), np.int64(150), np.int64(323), np.int64(25681), np.int64(1566), np.int64(5258), np.int64(13781), np.int64(5287), np.int64(49844), np.int64(32344), np.int64(42159), np.int64(48749), np.int64(8654), np.int64(19192), np.int64(29937), np.int64(33021), np.int64(22806), np.int64(35463), np.int64(3693), np.int64(5856), np.int64(13127), np.int64(24737), np.int64(45936), np.int64(2167), np.int64(23354), np.int64(28706), np.int64(45489), np.int64(13819), np.int64(39621), np.int64(21053), np.int64(36029), np.int64(19085), np.int64(9364), np.int64(20820), np.int64(49398), np.int64(21195), np.int64(22594), np.int64(32443), np.int64(45151), np.int64(45940), np.int64(22082), np.int64(27902), np.int64(37449), np.int64(21449), np.int64(13749), np.int64(11255), np.int64(10819), np.int64(14754), np.int64(36214), np.int64(6652))","(1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1)"
4.622804,50,1.448874,0,"(np.int64(36921), np.int64(30387), np.int64(34250), np.int64(28392), np.int64(30969), np.int64(47301), np.int64(31990), np.int64(6166), np.int64(5348), np.int64(24751), np.int64(2713), np.int64(39616), np.int64(26412), np.int64(6140), np.int64(507), np.int64(30942), np.int64(29697), np.int64(15678), np.int64(5967), np.int64(35213), np.int64(24608), np.int64(4171), np.int64(8655), np.int64(18338), np.int64(42035), np.int64(11017), np.int64(43805), np.int64(38744), np.int64(25920), np.int64(15016), np.int64(22600), np.int64(29932), np.int64(47447), np.int64(12882), np.int64(9713), np.int64(33532), np.int64(37619), np.int64(36525), np.int64(46250), np.int64(19163), np.int64(15441), np.int64(40120), np.int64(426), np.int64(2592), np.int64(21958), np.int64(38161), np.int64(41173), np.int64(31429), np.int64(24948), np.int64(20703))","(0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0)"
18.929034,50,1.92622,6,"(np.int64(40774), np.int64(46621), np.int64(4630), np.int64(47451), np.int64(9045), np.int64(33330), np.int64(4503), np.int64(12410), np.int64(23810), np.int64(45230), np.int64(8961), np.int64(8441), np.int64(35569), np.int64(9604), np.int64(16688), np.int64(49806), np.int64(28037), np.int64(25658), np.int64(44685), np.int64(49003), np.int64(36680), np.int64(2673), np.int64(45068), np.int64(6962), np.int64(35929), np.int64(15646), np.int64(23698), np.int64(20306), np.int64(48315), np.int64(478), np.int64(20096), np.int64(9987), np.int64(27159), np.int64(41358), np.int64(26393), np.int64(6714), np.int64(16521), np.int64(42106), np.int64(7313), np.int64(15890), np.int64(30963), np.int64(10229), np.int64(3505), np.int64(1882), np.int64(30285), np.int64(44167), np.int64(4306), np.int64(9835), np.int64(15493), np.int64(14089))","(0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1)"
21.112285,50,2.387224,5,"(np.int64(25036), np.int64(31503), np.int64(8334), np.int64(35841), np.int64(14165), np.int64(32602), np.int64(26301), np.int64(16246), np.int64(12725), np.int64(40252), np.int64(48425), np.int64(14808), np.int64(30821), np.int64(3602), np.int64(36707), np.int64(21529), np.int64(40), np.int64(33410), np.int64(15192), np.int64(14472), np.int64(19057), np.int64(48402), np.int64(7179), np.int64(39220), np.int64(17406), np.int64(22731), np.int64(10227), np.int64(26009), np.int64(18355), np.int64(48664), np.int64(21816), np.int64(9280), np.int64(9964), np.int64(23875), np.int64(20316), np.int64(26341), np.int64(5075), np.int64(36473), np.int64(28612), np.int64(48045), np.int64(39685), np.int64(15071), np.int64(37082), np.int64(38614), np.int64(12751), np.int64(41487), np.int64(4143), np.int64(3723), np.int64(24129), np.int64(49143))","(1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0)"
19.756092,50,2.813886,5,"(np.int64(41461), np.int64(21609), np.int64(33742), np.int64(26947), np.int64(8272), np.int64(41648), np.int64(11729), np.int64(42146), np.int64(48464), np.int64(5142), np.int64(9031), np.int64(40690), np.int64(7452), np.int64(21861), np.int64(24052), np.int64(16293), np.int64(6283), np.int64(6022), np.int64(28259), np.int64(48526), np.int64(37031), np.int64(11056), np.int64(38500), np.int64(13846), np.int64(4471), np.int64(29514), np.int64(27516), np.int64(8329), np.int64(5794), np.int64(29128), np.int64(34664), np.int64(30118), np.int64(34323), np.int64(25142), np.int64(28810), np.int64(43082), np.int64(16522), np.int64(48868), np.int64(18686), np.int64(7784), np.int64(27756), np.int64(12763), np.int64(17539), np.int64(19776), np.int64(24393), np.int64(41662), np.int64(11269), np.int64(15397), np.int64(34485), np.int64(46956))","(1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0)"
15.891987,50,3.210885,5,"(np.int64(49776), np.int64(20362), np.int64(2259), np.int64(37174), np.int64(47348), np.int64(13518), np.int64(11949), np.int64(33011), np.int64(27528), np.int64(31782), np.int64(23564), np.int64(22218), np.int64(575), np.int64(24641), np.int64(38194), np.int64(34911), np.int64(48738), np.int64(41438), np.int64(40616), np.int64(20990), np.int64(11857), np.int64(33621), np.int64(4070), np.int64(20197), np.int64(29366), np.int64(4892), np.int64(41643), np.int64(35435), np.int64(43956), np.int64(3035), np.int64(33224), np.int64(16204), np.int64(38240), np.int64(24104), np.int64(44730), np.int64(5348), np.int64(17006), np.int64(35368), np.int64(47100), np.int64(39638), np.int64(14936), np.int64(42785), np.int64(32432), np.int64(40724), np.int64(32457), np.int64(14391), np.int64(1771), np.int64(25653), np.int64(9260), np.int64(26892))","(0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1)"
17.735794,50,3.613544,4,"(np.int64(36905), np.int64(28382), np.int64(44892), np.int64(49153), np.int64(39143), np.int64(3450), np.int64(20765), np.int64(37352), np.int64(17696), np.int64(48662), np.int64(28154), np.int64(25411), np.int64(1795), np.int64(5721), np.int64(49909), np.int64(4526), np.int64(36821), np.int64(15896), np.int64(39052), np.int64(36953), np.int64(49092), np.int64(46357), np.int64(46663), np.int64(8570), np.int64(38648), np.int64(24046), np.int64(17832), np.int64(9710), np.int64(40018), np.int64(36156), np.int64(1449), np.int64(22589), np.int64(6322), np.int64(26220), np.int64(9741), np.int64(1878), np.int64(24644), np.int64(39954), np.int64(8799), np.int64(29604), np.int64(11459), np.int64(27563), np.int64(22235), np.int64(49175), np.int64(26715), np.int64(19314), np.int64(2697), np.int64(46518), np.int64(31700), np.int64(49686))","(0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0)"
21.946279,50,4.004521,5,"(np.int64(30205), np.int64(5499), np.int64(13654), np.int64(21029), np.int64(28356), np.int64(12936), np.int64(39849), np.int64(32206), np.int64(38169), np.int64(32422), np.int64(34633), np.int64(20811), np.int64(29135), np.int64(26245), np.int64(12268), np.int64(32295), np.int64(470), np.int64(28534), np.int64(33893), np.int64(48340), np.int64(29806), np.int64(33771), np.int64(9979), np.int64(28915), np.int64(12722), np.int64(46895), np.int64(40438), np.int64(13561), np.int64(38350), np.int64(32763), np.int64(22991), np.int64(15504), np.int64(49047), np.int64(7661), np.int64(28492), np.int64(29096), np.int64(1140), np.int64(40402), np.int64(21762), np.int64(2710), np.int64(14373), np.int64(15376), np.int64(8556), np.int64(41240), np.int64(7144), np.int64(29320), np.int64(5622), np.int64(20782), np.int64(32944), np.int64(44456))","(0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)"
23.544631,50,4.423103,5,"(np.int64(33945), np.int64(24283), np.int64(28838), np.int64(27951), np.int64(30078), np.int64(21011), np.int64(3425), np.int64(33109), np.int64(16328), np.int64(25350), np.int64(7092), np.int64(10353), np.int64(10319), np.int64(27907), np.int64(22066), np.int64(24025), np.int64(9206), np.int64(44652), np.int64(17738), np.int64(17880), np.int64(14159), np.int64(15786), np.int64(2091), np.int64(15998), np.int64(48750), np.int64(13725), np.int64(2143), np.int64(24647), np.int64(25384), np.int64(1373), np.int64(38007), np.int64(28889), np.int64(26389), np.int64(10289), np.int64(30035), np.int64(11557), np.int64(5556), np.int64(49798), np.int64(4357), np.int64(41302), np.int64(25589), np.int64(29307), np.int64(902), np.int64(48449), np.int64(16319), np.int64(41144), np.int64(37785), np.int64(12912), np.int64(40869), np.int64(21270))","(1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0)"
