#{"t_start": 1745287019.873002, "env_id": "None"}
r,l,t,user_id,item_interact,item_clicks
1.542677,50,0.698853,0,"(np.int64(4498), np.int64(18604), np.int64(30803), np.int64(46037), np.int64(39821), np.int64(28931), np.int64(12005), np.int64(19670), np.int64(32001), np.int64(16776), np.int64(42598), np.int64(22009), np.int64(18922), np.int64(28984), np.int64(28420), np.int64(14854), np.int64(2608), np.int64(18011), np.int64(31346), np.int64(10342), np.int64(48528), np.int64(3154), np.int64(479), np.int64(42768), np.int64(29040), np.int64(37492), np.int64(29563), np.int64(25290), np.int64(8087), np.int64(13704), np.int64(48233), np.int64(27494), np.int64(30385), np.int64(32221), np.int64(20339), np.int64(38199), np.int64(23476), np.int64(15769), np.int64(6964), np.int64(46509), np.int64(33996), np.int64(10970), np.int64(9627), np.int64(25122), np.int64(21817), np.int64(263), np.int64(1749), np.int64(8097), np.int64(10615), np.int64(24115))","(0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2.207433,50,1.180704,0,"(np.int64(13657), np.int64(43414), np.int64(40938), np.int64(10796), np.int64(6033), np.int64(34242), np.int64(34428), np.int64(43149), np.int64(25507), np.int64(42946), np.int64(6602), np.int64(10584), np.int64(662), np.int64(38123), np.int64(13179), np.int64(7619), np.int64(32121), np.int64(11339), np.int64(27465), np.int64(40287), np.int64(36942), np.int64(37763), np.int64(35022), np.int64(48426), np.int64(30972), np.int64(25642), np.int64(43664), np.int64(33940), np.int64(14263), np.int64(45672), np.int64(15800), np.int64(27950), np.int64(1763), np.int64(29770), np.int64(4213), np.int64(31393), np.int64(28956), np.int64(48723), np.int64(49310), np.int64(23359), np.int64(36986), np.int64(33459), np.int64(28565), np.int64(33428), np.int64(32607), np.int64(18513), np.int64(25882), np.int64(24334), np.int64(48525), np.int64(16273))","(0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)"
5.420639,50,1.645894,0,"(np.int64(15290), np.int64(5591), np.int64(30792), np.int64(45444), np.int64(8545), np.int64(7728), np.int64(13665), np.int64(27908), np.int64(6061), np.int64(46885), np.int64(18635), np.int64(25206), np.int64(10133), np.int64(31153), np.int64(13672), np.int64(32390), np.int64(37844), np.int64(27575), np.int64(15101), np.int64(48195), np.int64(12602), np.int64(348), np.int64(28670), np.int64(47349), np.int64(4307), np.int64(22255), np.int64(40977), np.int64(31463), np.int64(11713), np.int64(29307), np.int64(33532), np.int64(38299), np.int64(46535), np.int64(34576), np.int64(12186), np.int64(6568), np.int64(20740), np.int64(31503), np.int64(15766), np.int64(42976), np.int64(1309), np.int64(2105), np.int64(41610), np.int64(23357), np.int64(25359), np.int64(5534), np.int64(13292), np.int64(35928), np.int64(34201), np.int64(4020))","(0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)"
3.132616,50,2.100992,0,"(np.int64(3742), np.int64(35260), np.int64(41518), np.int64(12954), np.int64(23644), np.int64(8450), np.int64(39032), np.int64(10534), np.int64(1651), np.int64(38508), np.int64(30462), np.int64(10701), np.int64(36918), np.int64(14107), np.int64(35101), np.int64(10585), np.int64(26468), np.int64(43925), np.int64(5099), np.int64(49923), np.int64(30979), np.int64(3844), np.int64(38482), np.int64(38995), np.int64(19039), np.int64(31719), np.int64(10542), np.int64(2998), np.int64(23213), np.int64(40595), np.int64(31326), np.int64(20607), np.int64(14130), np.int64(18470), np.int64(7036), np.int64(17358), np.int64(45603), np.int64(31017), np.int64(44972), np.int64(1065), np.int64(8782), np.int64(8399), np.int64(45128), np.int64(24814), np.int64(44171), np.int64(27431), np.int64(11504), np.int64(47621), np.int64(6908), np.int64(8614))","(0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1.54342,50,2.559299,0,"(np.int64(17662), np.int64(283), np.int64(10153), np.int64(48186), np.int64(8789), np.int64(42769), np.int64(48509), np.int64(9112), np.int64(39657), np.int64(27908), np.int64(18475), np.int64(22291), np.int64(14948), np.int64(4735), np.int64(2137), np.int64(29320), np.int64(48074), np.int64(14093), np.int64(46571), np.int64(39071), np.int64(20820), np.int64(11521), np.int64(5926), np.int64(45187), np.int64(44351), np.int64(30900), np.int64(37765), np.int64(42095), np.int64(19166), np.int64(26579), np.int64(11285), np.int64(26804), np.int64(28360), np.int64(13774), np.int64(17081), np.int64(49866), np.int64(4707), np.int64(37504), np.int64(1047), np.int64(34057), np.int64(11915), np.int64(6953), np.int64(10880), np.int64(34077), np.int64(49389), np.int64(43837), np.int64(22938), np.int64(4341), np.int64(29137), np.int64(1353))","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0)"
2.236407,50,3.02141,0,"(np.int64(22792), np.int64(14449), np.int64(9872), np.int64(29763), np.int64(18174), np.int64(8755), np.int64(17175), np.int64(10984), np.int64(1275), np.int64(8819), np.int64(27280), np.int64(34328), np.int64(19743), np.int64(17073), np.int64(18432), np.int64(12081), np.int64(48589), np.int64(39914), np.int64(9148), np.int64(49906), np.int64(11366), np.int64(49357), np.int64(21427), np.int64(17071), np.int64(16038), np.int64(35735), np.int64(7685), np.int64(13302), np.int64(44639), np.int64(15485), np.int64(23168), np.int64(27207), np.int64(14509), np.int64(13372), np.int64(537), np.int64(38371), np.int64(27994), np.int64(30644), np.int64(17914), np.int64(6507), np.int64(12175), np.int64(32693), np.int64(21946), np.int64(11428), np.int64(26570), np.int64(15178), np.int64(15332), np.int64(25965), np.int64(30769), np.int64(19092))","(0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
4.967811,50,3.48178,0,"(np.int64(4141), np.int64(27249), np.int64(29344), np.int64(3005), np.int64(20865), np.int64(35617), np.int64(38138), np.int64(38636), np.int64(11635), np.int64(8046), np.int64(40763), np.int64(3705), np.int64(28854), np.int64(41144), np.int64(46879), np.int64(7099), np.int64(32617), np.int64(14242), np.int64(26871), np.int64(33731), np.int64(13238), np.int64(22991), np.int64(14556), np.int64(2668), np.int64(48061), np.int64(28169), np.int64(15567), np.int64(23895), np.int64(31015), np.int64(711), np.int64(16597), np.int64(26795), np.int64(42235), np.int64(21609), np.int64(31789), np.int64(15172), np.int64(48154), np.int64(38358), np.int64(37157), np.int64(40100), np.int64(20105), np.int64(4688), np.int64(33731), np.int64(45223), np.int64(6698), np.int64(13208), np.int64(35090), np.int64(30891), np.int64(3710), np.int64(9356))","(0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)"
2.244078,50,3.943377,0,"(np.int64(47511), np.int64(12193), np.int64(72), np.int64(48553), np.int64(36927), np.int64(18459), np.int64(17006), np.int64(27614), np.int64(3883), np.int64(30724), np.int64(34614), np.int64(43464), np.int64(640), np.int64(16041), np.int64(29406), np.int64(47976), np.int64(34455), np.int64(49429), np.int64(10990), np.int64(20111), np.int64(40750), np.int64(13654), np.int64(2272), np.int64(5916), np.int64(19168), np.int64(33917), np.int64(49829), np.int64(42586), np.int64(23595), np.int64(21597), np.int64(39152), np.int64(15769), np.int64(543), np.int64(15520), np.int64(44359), np.int64(13397), np.int64(2307), np.int64(31425), np.int64(49141), np.int64(48453), np.int64(2496), np.int64(48266), np.int64(49069), np.int64(30035), np.int64(43063), np.int64(45030), np.int64(47218), np.int64(15875), np.int64(33051), np.int64(16227))","(0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
6.019624,50,4.402242,0,"(np.int64(33831), np.int64(38212), np.int64(15826), np.int64(910), np.int64(11636), np.int64(49263), np.int64(39135), np.int64(22054), np.int64(22900), np.int64(18680), np.int64(14915), np.int64(48639), np.int64(20479), np.int64(15087), np.int64(32445), np.int64(47621), np.int64(26894), np.int64(10453), np.int64(42101), np.int64(2204), np.int64(9447), np.int64(26868), np.int64(28966), np.int64(34724), np.int64(20306), np.int64(1479), np.int64(30763), np.int64(17943), np.int64(35458), np.int64(37677), np.int64(26518), np.int64(16442), np.int64(35525), np.int64(48936), np.int64(47943), np.int64(16490), np.int64(46250), np.int64(16812), np.int64(22989), np.int64(43424), np.int64(22135), np.int64(11724), np.int64(18676), np.int64(17981), np.int64(18922), np.int64(41242), np.int64(10712), np.int64(41834), np.int64(43091), np.int64(2616))","(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0)"
7.578241,50,4.865091,0,"(np.int64(28731), np.int64(20075), np.int64(12093), np.int64(20203), np.int64(17376), np.int64(41350), np.int64(7415), np.int64(47888), np.int64(40063), np.int64(8855), np.int64(441), np.int64(205), np.int64(12394), np.int64(20457), np.int64(17485), np.int64(2825), np.int64(35922), np.int64(5715), np.int64(37405), np.int64(41623), np.int64(33256), np.int64(34310), np.int64(46670), np.int64(23399), np.int64(46820), np.int64(38655), np.int64(31357), np.int64(2191), np.int64(24430), np.int64(10054), np.int64(25639), np.int64(32168), np.int64(1983), np.int64(37012), np.int64(25392), np.int64(22906), np.int64(5131), np.int64(41546), np.int64(18414), np.int64(17805), np.int64(47587), np.int64(45351), np.int64(35920), np.int64(18574), np.int64(25380), np.int64(17522), np.int64(12839), np.int64(8292), np.int64(40035), np.int64(15050))","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)"
